DAY,TIME,FLIGHT NUMBER,DESTINATION,AIRLINES,REMARK,Unnamed: 6,AIRLINE LOGO
2025-04-02,02/04,18:20,MH 7633,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-02,02/04,18:30,CX 600,Hong Kong (hkg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CX_small.gif
2025-04-02,02/04,18:55,SQ 1575,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-02,02/04,19:10,VZ 723,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-02,02/04,19:25,PG 93611,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-02,02/04,20:10,8M 402,Yangon (rgn),,,
2025-04-02,02/04,20:45,K6 8181,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,20:50,EK 349,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/EK_small.gif
2025-04-02,02/04,20:55,VN 9221,Hanoi (han),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-02,02/04,21:15,TG 5851,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-02,02/04,21:55,9C 7008,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-02,02/04,22:55,KR 937,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,23:30,KE 6901,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KE_small.gif
2025-04-02,02/04,23:45,KR 929,Shenzhen (szx),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,23:50,K6 610,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,23:55,OZ 7401,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/OZ_0.gif
2025-04-03,03/04,00:10,MU 760,Shanghai (pvg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-03,03/04,07:00,KT 163,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-03,03/04,07:05,K6 8121,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,07:45,KR 507,Hong Kong (hkg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
